Label,Brand_Clean,Name,Price,price_category,Rank,Quality_Score,Ingredients_List,Ingredients_Text,contains_irritants,irritant_list,Combination,Dry,Normal,Oily,Sensitive,Price_normalized,ingredient_complexity,brand_popularity_norm
Moisturizer,La Mer,Crème de la Mer,175,Luxury,4.1,0.18,"['algae seaweed extract', 'mineral oil', 'petrolatum', 'glycerin', 'isohexadecane', 'microcrystalline wax', 'lanolin alcohol', 'citrus aurantifolia lime extract', 'sesamum indicum sesame seed oil', 'eucalyptus globulus eucalyptus leaf oil', 'sesamum indicum sesame seed powder', 'medicago sativa alfalfa seed powder', 'helianthus annuus sunflower seedcake', 'prunus amygdalus dulcis sweet almond seed meal', 'sodium gluconate', 'copper gluconate', 'calcium gluconate', 'magnesium gluconate', 'zinc gluconate', 'magnesium sulfate', 'paraffin', 'tocopheryl succinate', 'niacin', 'water', 'beta-carotene', 'decyl oleate', 'aluminum distearate', 'octyldodecanol', 'citric acid', 'cyanocobalamin', 'magnesium stearate', 'panthenol', 'limonene', 'geraniol', 'linalool', 'hydroxycitronellal', 'citronellol', 'benzyl salicylate', 'citral', 'sodium benzoate', 'alcohol denat', 'fragrance']",algae seaweed extract mineral oil petrolatum glycerin isohexadecane microcrystalline wax lanolin alcohol citrus aurantifolia lime extract sesamum indicum sesame seed oil eucalyptus globulus eucalyptus leaf oil sesamum indicum sesame seed powder medicago sativa alfalfa seed powder helianthus annuus sunflower seedcake prunus amygdalus dulcis sweet almond seed meal sodium gluconate copper gluconate calcium gluconate magnesium gluconate zinc gluconate magnesium sulfate paraffin tocopheryl succinate niacin water beta-carotene decyl oleate aluminum distearate octyldodecanol citric acid cyanocobalamin magnesium stearate panthenol limonene geraniol linalool hydroxycitronellal citronellol benzyl salicylate citral sodium benzoate alcohol denat fragrance,True,"['lanolin alcohol', 'citric acid', 'alcohol denat', 'fragrance']",1,1,1,1,1,0.46866485013623976,42,0.3717948717948718
Moisturizer,Sk-Ii,Facial Treatment Essence,179,Luxury,4.1,0.18,"['galactomyces ferment filtrate pitera', 'butylene glycol', 'pentylene glycol', 'water', 'sodium benzoate', 'methylparaben', 'sorbic acid']",galactomyces ferment filtrate pitera butylene glycol pentylene glycol water sodium benzoate methylparaben sorbic acid,False,[],1,1,1,1,1,0.47956403269754766,7,0.20512820512820512
Moisturizer,Drunk Elephant,Protini™ Polypeptide Cream,68,Premium,4.4,0.1199999999999998,"['water', 'dicaprylyl carbonate', 'glycerin', 'cetearyl alcohol', 'cetearyl olivate', 'sorbitan olivate', 'sclerocarya birrea seed oil', 'bacillussoybean folic acid ferment extract', 'nymphaea alba root extract', 'sh-oligopeptide-1', 'sh-oligopeptide-2', 'sh-polypeptide-1', 'sh-polypeptide-9', 'sh-polypeptide-11', 'copper palmitoyl heptapeptide-14', 'heptapeptide-15 palmitate', 'palmitoyl tetrapeptide-7', 'palmitoyl tripeptide-1', 'alanine', 'arginine', 'glycine', 'histidine', 'isoleucine', 'phenylalanine', 'proline', 'serine', 'threonine', 'valine', 'acetyl glutamine', 'coconut alkanes', 'coco-caprylatecaprate', 'sodium hyaluronate', 'aspartic acid', 'linoleic acid', 'linolenic acid', 'lecithin', 'butylene glycol', 'polyvinyl alcohol', 'sodium lactate', 'sodium pca', 'pca', 'sorbitan isostearate', 'carbomer', 'polysorbate 20', 'polysorbate 60', 'lactic acidglycolic acid copolymer', 'hydroxyethyl acrylatesodium acryloyldimethyl taurate copolymer', 'xanthan gum', 'isomalt', '2-hexanediol', 'caprylyl glycol', 'chlorphenesin', 'phenoxyethanol', 'tocopherol', 'sodium benzoate', 'phenylpropanol', 'glyceryl caprylate', 'symphytum officinale callus culture extract']",water dicaprylyl carbonate glycerin cetearyl alcohol cetearyl olivate sorbitan olivate sclerocarya birrea seed oil bacillussoybean folic acid ferment extract nymphaea alba root extract sh-oligopeptide-1 sh-oligopeptide-2 sh-polypeptide-1 sh-polypeptide-9 sh-polypeptide-11 copper palmitoyl heptapeptide-14 heptapeptide-15 palmitate palmitoyl tetrapeptide-7 palmitoyl tripeptide-1 alanine arginine glycine histidine isoleucine phenylalanine proline serine threonine valine acetyl glutamine coconut alkanes coco-caprylatecaprate sodium hyaluronate aspartic acid linoleic acid linolenic acid lecithin butylene glycol polyvinyl alcohol sodium lactate sodium pca pca sorbitan isostearate carbomer polysorbate 20 polysorbate 60 lactic acidglycolic acid copolymer hydroxyethyl acrylatesodium acryloyldimethyl taurate copolymer xanthan gum isomalt 2-hexanediol caprylyl glycol chlorphenesin phenoxyethanol tocopherol sodium benzoate phenylpropanol glyceryl caprylate symphytum officinale callus culture extract,True,"['cetearyl alcohol', 'polyvinyl alcohol', 'lactic acidglycolic acid copolymer', 'phenoxyethanol']",1,1,1,1,0,0.1771117166212534,58,0.24358974358974358
Moisturizer,La Mer,The Moisturizing Soft Cream,175,Luxury,3.8,0.24,"['algae seaweed extract', 'cyclopentasiloxane', 'petrolatum', 'glyceryl distearate', 'phenyl trimethicone', 'butylene glycol', 'hydrogenated vegetable oil', 'cholesterol', 'butyrospermum parkii shea butter', 'steareth-10', 'dimethicone', 'glyceryl stearate se', 'polysilicone-11', 'sesamum indicum sesame seed oil', 'medicago sativa alfalfa seed powder', 'helianthus annuus sunflower seedcake', 'prunus amygdalus dulcis sweet almond seed meal', 'eucalyptus globulus eucalyptus leaf oil', 'sodium gluconate', 'copper gluconate', 'calcium gluconate', 'magnesium gluconate', 'zinc gluconate', 'tocopheryl succinate', 'niacin', 'sesamum indicum sesame seed powder', 'water', 'citrus aurantifolia lime peel extract', 'laminaria digitata extract', 'crithmum maritimum extract', 'salicornia herbacea extract', 'plankton extract', 'chlorella vulgaris extract', 'glycine soja soybean seed extract', 'glycerin', 'caffeine', 'sea saltmaris salsel marin', 'micrococcus lysate', 'diethylhexyl succinate', 'adenosine phosphate', 'creatine', 'hydrolyzed algin', 'isocetyl stearoyl stearate', 'cetyl alcohol', 'sucrose', 'acetyl hexapeptide-8', 'glucose oxidase', 'polyacrylamide', 'acetyl carnitine hcl', 'glucose', 'capryliccapric triglyceride', 'c13-14 isoparaffin', 'tocopheryl acetate', 'tetrahexyldecyl ascorbate', 'sodium pca', 'glycosaminoglycans', 'urea', 'distearyldimonium chloride', 'dipalmitoyl hydroxyproline', 'sodium hyaluronate', 'laureth-7', 'lecithin', 'trehalose', 'polyquaternium-51', 'lactoperoxidase', 'hydroxypropyl cyclodextrin', 'cyanocobalamin', 'pentylene glycol', 'fragrance', 'disodium edta', 'bht', 'citronellol', 'hydroxycitronellal', 'geraniol', 'linalool', 'limonene', 'potassium sorbate', 'phenoxyethanol']",algae seaweed extract cyclopentasiloxane petrolatum glyceryl distearate phenyl trimethicone butylene glycol hydrogenated vegetable oil cholesterol butyrospermum parkii shea butter steareth-10 dimethicone glyceryl stearate se polysilicone-11 sesamum indicum sesame seed oil medicago sativa alfalfa seed powder helianthus annuus sunflower seedcake prunus amygdalus dulcis sweet almond seed meal eucalyptus globulus eucalyptus leaf oil sodium gluconate copper gluconate calcium gluconate magnesium gluconate zinc gluconate tocopheryl succinate niacin sesamum indicum sesame seed powder water citrus aurantifolia lime peel extract laminaria digitata extract crithmum maritimum extract salicornia herbacea extract plankton extract chlorella vulgaris extract glycine soja soybean seed extract glycerin caffeine sea saltmaris salsel marin micrococcus lysate diethylhexyl succinate adenosine phosphate creatine hydrolyzed algin isocetyl stearoyl stearate cetyl alcohol sucrose acetyl hexapeptide-8 glucose oxidase polyacrylamide acetyl carnitine hcl glucose capryliccapric triglyceride c13-14 isoparaffin tocopheryl acetate tetrahexyldecyl ascorbate sodium pca glycosaminoglycans urea distearyldimonium chloride dipalmitoyl hydroxyproline sodium hyaluronate laureth-7 lecithin trehalose polyquaternium-51 lactoperoxidase hydroxypropyl cyclodextrin cyanocobalamin pentylene glycol fragrance disodium edta bht citronellol hydroxycitronellal geraniol linalool limonene potassium sorbate phenoxyethanol,True,"['cetyl alcohol', 'fragrance', 'phenoxyethanol']",1,1,1,1,1,0.46866485013623976,78,0.3717948717948718
Moisturizer,It Cosmetics,Your Skin But Better™ CC+™ Cream with SPF 50+,38,Medium,4.1,0.18,"['water', 'snail secretion filtrate', 'phenyl trimethicone', 'dimethicone', 'butylene glycol', 'butylene glycol dicaprylatedicaprate', 'orbignya oleifera seed oil', 'butyloctyl salicylate', 'cetyl pegppg-101 dimethicone', 'cyclopentasiloxane', 'cyclohexasiloxane', 'magnesium sulfate', 'polyglyceryl-4 isostearate', 'dimethiconevinyl dimethicone crosspolymer', 'aluminum hydroxide', 'hexyl laurate', 'stearic acid', 'calcium stearate', 'caprylyl glycol', 'triethoxycaprylylsilane', 'ethylhexylglycerin', 'citrus medica limonum lemon peel oil', 'tocopheryl acetate', 'sorbitan isostearate', 'phenoxyethanol', 'citrus aurantium bergamia bergamot fruit oil', '2-hexanediol', 'disodium edta', 'citrus aurantium dulcis orange peel oil', 'citrus aurantifolia lime oil', 'vitis vinifera grape seed oil', 'punica granatum seed oil', 'pinus sylvestris leaf oil', 'persea gratissima avocado oil', 'niacinamide', 'citrus grandis grapefruit peel oil', 'cholesterol', 'anthemis nobilis flower water', 'lactobacillushoneysuckle flowerlicorice rootmorus alba rootpueraria lobata rootschizandra chinensis fruitscutellaria baicalensis rootsophora japonica flower extract ferment filtrate', 'perfluorohexane', 'olea europaea olive leaf extract', 'glycerin', 'eucalyptus globulus leaf oil', 'camellia sinensis leaf extract', 'chrysanthemum indicum flower extract', 'pueraria lobata root extract', 'perfluorodecalin', 'morus alba fruit extract', 'magnolia kobus bark extract', 'glycine soja soybean sprout extract', 'diospyros kaki leaf extract', 'cinnamomum cassia bark extract', 'artemisia princeps leaf extract', 'pentafluoropropane', 'curcuma longa turmeric root extract', 'steareth-20', 'hydrolyzed hyaluronic acid', 'colloidal oatmeal', 'hydrolyzed silk', 'citric acid', 'sodium benzoate', 'potassium sorbate', 'aloe barbadensis leaf extract', 'n-hydroxysuccinimide', 'hydrolyzed collagen', 'caprylhydroxamic acid', 'tocopherol', 'thiamine hcl', 'riboflavin', 'retinyl palmitate', 'pantothenic acid', 'palmitoyl oligopeptide', 'niacin', 'folic acid', 'chrysin', 'carnitine hcl', 'biotin', 'ascorbic acid', 'palmitoyl tetrapeptide-7', 'chlorhexidine digluconate may contain iron oxides ci 77492', 'ci 77491', 'ci 77499']",water snail secretion filtrate phenyl trimethicone dimethicone butylene glycol butylene glycol dicaprylatedicaprate orbignya oleifera seed oil butyloctyl salicylate cetyl pegppg-101 dimethicone cyclopentasiloxane cyclohexasiloxane magnesium sulfate polyglyceryl-4 isostearate dimethiconevinyl dimethicone crosspolymer aluminum hydroxide hexyl laurate stearic acid calcium stearate caprylyl glycol triethoxycaprylylsilane ethylhexylglycerin citrus medica limonum lemon peel oil tocopheryl acetate sorbitan isostearate phenoxyethanol citrus aurantium bergamia bergamot fruit oil 2-hexanediol disodium edta citrus aurantium dulcis orange peel oil citrus aurantifolia lime oil vitis vinifera grape seed oil punica granatum seed oil pinus sylvestris leaf oil persea gratissima avocado oil niacinamide citrus grandis grapefruit peel oil cholesterol anthemis nobilis flower water lactobacillushoneysuckle flowerlicorice rootmorus alba rootpueraria lobata rootschizandra chinensis fruitscutellaria baicalensis rootsophora japonica flower extract ferment filtrate perfluorohexane olea europaea olive leaf extract glycerin eucalyptus globulus leaf oil camellia sinensis leaf extract chrysanthemum indicum flower extract pueraria lobata root extract perfluorodecalin morus alba fruit extract magnolia kobus bark extract glycine soja soybean sprout extract diospyros kaki leaf extract cinnamomum cassia bark extract artemisia princeps leaf extract pentafluoropropane curcuma longa turmeric root extract steareth-20 hydrolyzed hyaluronic acid colloidal oatmeal hydrolyzed silk citric acid sodium benzoate potassium sorbate aloe barbadensis leaf extract n-hydroxysuccinimide hydrolyzed collagen caprylhydroxamic acid tocopherol thiamine hcl riboflavin retinyl palmitate pantothenic acid palmitoyl oligopeptide niacin folic acid chrysin carnitine hcl biotin ascorbic acid palmitoyl tetrapeptide-7 chlorhexidine digluconate may contain iron oxides ci 77492 ci 77491 ci 77499,True,"['phenoxyethanol', 'citric acid']",1,1,1,1,1,0.09536784741144415,82,0.19230769230769232
Moisturizer,Tatcha,The Water Cream,68,Premium,4.2,0.1599999999999999,"['water', 'saccharomycescamellia sinensis leafcladosiphon okamuranusrice ferment filtrate', 'dimethicone', 'propanediol', 'glycerin', 'diglycerin', 'diphenylsiloxy phenyl trimethicone', 'gold', 'belamcanda chinensis root extract', 'rosa multiflora fruit extract', 'houttuynia cordata extract', 'sophora angustifolia root extract', 'sodium hyaluronate', 'lecithin', 'pistacia lentiscus mastic gum', 'sodium chloride', 'sodium citrate', 'mica', 'peg-9 polydimethylsiloxyethyl dimethicone', 'dimethiconepeg-1015 crosspolymer', 'dimethiconephenyl vinyl dimethicone crosspolymer', 'disodium edta', 'tin oxide', 'titanium dioxide', 'butylene glycol', 'ethylhexylglycerin', 'parfumfragrance', 'alcohol', 'phenoxyethanol hadasei-3']",water saccharomycescamellia sinensis leafcladosiphon okamuranusrice ferment filtrate dimethicone propanediol glycerin diglycerin diphenylsiloxy phenyl trimethicone gold belamcanda chinensis root extract rosa multiflora fruit extract houttuynia cordata extract sophora angustifolia root extract sodium hyaluronate lecithin pistacia lentiscus mastic gum sodium chloride sodium citrate mica peg-9 polydimethylsiloxyethyl dimethicone dimethiconepeg-1015 crosspolymer dimethiconephenyl vinyl dimethicone crosspolymer disodium edta tin oxide titanium dioxide butylene glycol ethylhexylglycerin parfumfragrance alcohol phenoxyethanol hadasei-3,True,"['parfumfragrance', 'alcohol', 'phenoxyethanol hadasei-3']",1,0,1,1,1,0.1771117166212534,29,0.23076923076923078
Moisturizer,Drunk Elephant,Lala Retro™ Whipped Cream,60,Premium,4.2,0.1599999999999999,"['water', 'glycerin', 'caprylic capric triglyceride', 'isopropyl isostearate', 'pseudozyma epicolacamellia sinensis seed oilglucoseglycine soja mealmalt extractyeast extract ferment filtrate pseudozyma epicolacamellia sinensis seed oilglucoseyeast extract ferment filtrate', 'stearic acid', 'glyceryl stearate se', 'cetearyl alcohol', 'pentylene glycol', 'plantago lanceolata leaf extract', 'adansonia digitata seed oil', 'citrullus lanatus watermelon seed oil', 'passiflora edulis seed oil', 'schinziophyton rautanenii kernel oil', 'sclerocarya birrea seed oil', 'polyglyceryl-6 ximenia americana seedate', 'sodium hyaluronate crosspolymer', 'ceteareth-20', 'trisodium ethylenediamine disuccinate', 'sodium hydroxide', 'citric acid', 'carbomer', 'xanthan gum', 'caprylyl glycol', 'chlorphenesin', 'phenoxyethanol', 'ethylhexylglycerin']",water glycerin caprylic capric triglyceride isopropyl isostearate pseudozyma epicolacamellia sinensis seed oilglucoseglycine soja mealmalt extractyeast extract ferment filtrate pseudozyma epicolacamellia sinensis seed oilglucoseyeast extract ferment filtrate stearic acid glyceryl stearate se cetearyl alcohol pentylene glycol plantago lanceolata leaf extract adansonia digitata seed oil citrullus lanatus watermelon seed oil passiflora edulis seed oil schinziophyton rautanenii kernel oil sclerocarya birrea seed oil polyglyceryl-6 ximenia americana seedate sodium hyaluronate crosspolymer ceteareth-20 trisodium ethylenediamine disuccinate sodium hydroxide citric acid carbomer xanthan gum caprylyl glycol chlorphenesin phenoxyethanol ethylhexylglycerin,True,"['cetearyl alcohol', 'citric acid', 'phenoxyethanol']",1,1,1,1,0,0.1553133514986376,27,0.24358974358974358
Moisturizer,Drunk Elephant,Virgin Marula Luxury Facial Oil,72,Premium,4.4,0.1199999999999998,['100 unrefined sclerocraya birrea marula kernel oil'],100 unrefined sclerocraya birrea marula kernel oil,False,[],1,1,1,1,0,0.1880108991825613,1,0.24358974358974358
Moisturizer,Kiehl'S Since 1851,Ultra Facial Cream,29,Medium,4.4,0.1199999999999998,"['water', 'glycerin', 'cyclohexasiloxane', 'squalane', 'bis-peg-18 methyl ether dimethyl silane', 'sucrose stearate', 'stearyl alcohol', 'peg-8 stearate', 'urea', 'myristyl myristate', 'pentaerythrityl tetraethylhexanoate', 'prunus armeniaca kernel oil', 'phenoxyethanol', 'persea gratissima oil', 'olea europaea oil', 'oryza sativa bran oil', 'cetyl alcohol', 'glyceryl stearate', 'imperata cylindrica root extract', 'stearic acid', 'methylparaben', 'chlorphenesin', 'palmitic acid', 'disodium edta', 'acrylatesc10-30 alkyl acrylate crosspolymer', 'propylparaben', 'carbomer', 'triethanolamine', 'prunus amygdalus dulcis oil', 'xanthan gum', 'sodium hydroxide', 'tocopherol', 'pseudoalteromonas ferment extract', 'hydroxypalmitoyl sphinganine', 'caprylyl glycol']",water glycerin cyclohexasiloxane squalane bis-peg-18 methyl ether dimethyl silane sucrose stearate stearyl alcohol peg-8 stearate urea myristyl myristate pentaerythrityl tetraethylhexanoate prunus armeniaca kernel oil phenoxyethanol persea gratissima oil olea europaea oil oryza sativa bran oil cetyl alcohol glyceryl stearate imperata cylindrica root extract stearic acid methylparaben chlorphenesin palmitic acid disodium edta acrylatesc10-30 alkyl acrylate crosspolymer propylparaben carbomer triethanolamine prunus amygdalus dulcis oil xanthan gum sodium hydroxide tocopherol pseudoalteromonas ferment extract hydroxypalmitoyl sphinganine caprylyl glycol,True,"['stearyl alcohol', 'phenoxyethanol', 'cetyl alcohol', 'triethanolamine']",1,1,1,1,1,0.07084468664850137,35,0.5769230769230769
Moisturizer,La Mer,Little Miss Miracle Limited-Edition Crème de la Mer,325,Luxury,5.0,0.0,"['algae seaweed extract', 'mineral oil', 'petrolatum', 'glycerin', 'isohexadecane', 'microcrystalline wax', 'lanolin alcohol', 'citrus aurantifolia lime extract', 'sesamum indicum sesame seed oil', 'eucalyptus globulus eucalyptus leaf oil', 'sesamum indicum sesame seed powder', 'medicago sativa alfalfa seed powder', 'helianthus annuus sunflower seedcake', 'prunus amygdalus dulcis sweet almond seed meal', 'sodium gluconate', 'copper gluconate', 'calcium gluconate', 'magnesium gluconate', 'zinc gluconate', 'magnesium sulfate', 'paraffin', 'tocopheryl succinate', 'niacin', 'water', 'beta-carotene', 'decyl oleate', 'aluminum distearate', 'octyldodecanol', 'citric acid', 'cyanocobalamin', 'magnesium stearate', 'panthenol', 'limonene', 'geraniol', 'linalool', 'hydroxycitronellal', 'citronellol', 'benzyl salicylate', 'citral', 'sodium benzoate', 'alcohol denat', 'fragrance']",algae seaweed extract mineral oil petrolatum glycerin isohexadecane microcrystalline wax lanolin alcohol citrus aurantifolia lime extract sesamum indicum sesame seed oil eucalyptus globulus eucalyptus leaf oil sesamum indicum sesame seed powder medicago sativa alfalfa seed powder helianthus annuus sunflower seedcake prunus amygdalus dulcis sweet almond seed meal sodium gluconate copper gluconate calcium gluconate magnesium gluconate zinc gluconate magnesium sulfate paraffin tocopheryl succinate niacin water beta-carotene decyl oleate aluminum distearate octyldodecanol citric acid cyanocobalamin magnesium stearate panthenol limonene geraniol linalool hydroxycitronellal citronellol benzyl salicylate citral sodium benzoate alcohol denat fragrance,True,"['lanolin alcohol', 'citric acid', 'alcohol denat', 'fragrance']",0,0,0,0,0,0.8773841961852861,42,0.3717948717948718
